NODE_ID,FLOOR,AISLE,COLUMN,__DEPOT__,n00001,n00002,n00003,n00004,n00005,n00006,n00007,n00008,n00009,n00010,n00011,n00012,n00013,n00014,n00015,n00016,n00017,n00018,n00019,n00020,n00021,n00022,n00023,n00024,n00025,n00026,n00027,n00028,n00029,n00030,n00031,n00032,n00033,n00034,n00035,n00036,n00037,n00038,n00039,n00040,n00041,n00042,n00043,n00044,n00045,n00046,n00047,n00048,n00049,n00050,n00051,n00052,n00053,n00054,n00055,n00056,n00057,n00058,n00059,n00060,n00061,n00062,n00063,n00064,n00065,n00066,n00067,n00068,n00069,n00070,n00071,n00072,n00073,n00074,n00075,n00076,n00077,n00078,n00079,n00080,n00081,n00082,n00083,n00084,n00085,n00086,n00087,n00088,n00089,n00090,n00091,n00092,n00093,n00094,n00095,n00096,n00097,n00098,n00099,n00100,n00101,n00102,n00103,n00104,n00105,n00106,n00107,n00108,n00109,n00110,n00111,n00112,n00113,n00114,n00115,n00116,n00117,n00118,n00119,n00120,n00121,n00122,n00123,n00124,n00125,n00126,n00127,n00128,n00129,n00130,n00131,n00132,n00133,n00134,n00135,n00136,n00137,n00138,n00139,n00140,n00141,n00142,n00143,n00144,n00145,n00146,n00147,n00148,n00149,n00150,n00151,n00152,n00153,n00154,n00155,n00156,n00157,n00158,n00159,n00160,n00161,n00162,n00163,n00164,n00165,n00166,n00167,n00168,n00169,n00170,n00171,n00172,n00173,n00174,n00175,n00176,n00177,n00178,n00179,n00180,n00181,n00182,n00183,n00184,n00185,n00186,n00187,n00188,n00189,n00190,n00191,n00192,n00193,n00194,n00195,n00196,n00197,n00198,n00199,n00200,n00201,n00202,n00203
n00016,MZN1,2,9,61.33,32.48,29.58,26.68,17.98,12.18,23.78,35.38,23.2,20.3,17.4,14.5,11.6,8.7,5.8,2.9,0,2.9,11.4,14.3,20.1,25.9,31.7,26.68,23.78,15.08,12.18,17.98,23.78,29.58,35.38,36.16,33.26,30.36,27.46,24.56,21.66,18.76,15.86,18.76,21.66,27.46,30.36,36.16,42.74,34.04,25.34,22.44,19.54,34.04,36.94,39.84,46.42,40.62,37.72,34.82,31.92,29.02,26.12,23.22,26.12,29.02,31.92,34.82,37.72,40.62,43.52,46.42,50.1,47.2,35.6,29.8,29.8,35.6,38.5,44.3,50.1,53.78,50.88,47.98,45.08,39.28,33.48,30.58,33.48,36.38,39.28,42.18,45.08,47.98,50.88,53.78,54.56,57.46,43.74,61.92,64.82,56.12,53.22,47.42,44.52,41.62,44.52,47.42,50.32,53.22,56.12,61.92,68.5,65.6,62.7,59.8,56.9,51.1,48.2,45.3,48.2,51.1,54,59.8,62.7,65.6,69.28,72.18,69.28,63.48,60.58,57.68,54.78,51.88,51.88,54.78,63.48,66.38,69.28,72.18,70.06,67.16,64.26,61.36,58.46,55.56,52.66,55.56,58.46,61.36,64.26,67.16,70.06,75.86,79.54,76.64,73.74,70.84,67.94,65.04,62.14,59.24,56.34,56.34,59.24,62.14,67.94,70.84,83.22,80.32,74.52,71.62,68.72,65.82,62.92,62.92,65.82,71.62,74.52,80.32,84,86.9,84,81.1,78.2,75.3,72.4,69.5,63.7,66.6,69.5,72.4,75.3,78.2,84,87.68,87.68,84.78,76.08,73.18,70.28,67.38,70.28,73.18,78.98,81.88,84.78,87.68
n00017,MZN1,2,10,64.23,29.58,26.68,23.78,15.08,9.28,20.88,32.48,26.1,23.2,20.3,17.4,14.5,11.6,8.7,5.8,2.9,0,8.5,11.4,17.2,23,28.8,23.78,20.88,12.18,9.28,15.08,20.88,26.68,32.48,33.26,30.36,27.46,24.56,21.66,18.76,15.86,12.96,15.86,18.76,24.56,27.46,33.26,39.84,31.14,22.44,19.54,16.64,31.14,34.04,36.94,43.52,37.72,34.82,31.92,29.02,26.12,23.22,20.32,23.22,26.12,29.02,31.92,34.82,37.72,40.62,43.52,47.2,44.3,32.7,26.9,26.9,32.7,35.6,41.4,47.2,50.88,47.98,45.08,42.18,36.38,30.58,27.68,30.58,33.48,36.38,39.28,42.18,45.08,47.98,50.88,57.46,54.56,40.84,64.82,61.92,53.22,50.32,44.52,41.62,38.72,41.62,44.52,47.42,50.32,53.22,59.02,65.6,62.7,59.8,56.9,54,48.2,45.3,42.4,45.3,48.2,51.1,56.9,59.8,62.7,72.18,69.28,66.38,60.58,57.68,54.78,51.88,48.98,48.98,51.88,60.58,63.48,66.38,69.28,67.16,64.26,61.36,58.46,55.56,52.66,49.76,52.66,55.56,58.46,61.36,64.26,67.16,72.96,76.64,73.74,70.84,67.94,65.04,62.14,59.24,56.34,53.44,53.44,56.34,59.24,65.04,67.94,80.32,77.42,71.62,68.72,65.82,62.92,60.02,60.02,62.92,68.72,71.62,77.42,86.9,84,81.1,78.2,75.3,72.4,69.5,66.6,60.8,63.7,66.6,69.5,72.4,75.3,81.1,90.58,84.78,81.88,73.18,70.28,67.38,64.48,67.38,70.28,76.08,78.98,81.88,84.78
n00018,MZN1,2,12,72.73,32.48,29.58,26.68,17.98,12.18,23.78,35.38,34.6,31.7,28.8,25.9,23,20.1,17.2,14.3,11.4,8.5,0,2.9,8.7,14.5,20.3,26.68,23.78,15.08,12.18,17.98,23.78,29.58,35.38,36.16,33.26,30.36,27.46,24.56,21.66,18.76,15.86,18.76,21.66,27.46,30.36,36.16,42.74,34.04,25.34,22.44,19.54,34.04,36.94,39.84,46.42,40.62,37.72,34.82,31.92,29.02,26.12,23.22,26.12,29.02,31.92,34.82,37.72,40.62,43.52,46.42,50.1,47.2,35.6,29.8,29.8,35.6,38.5,44.3,50.1,53.78,50.88,47.98,45.08,39.28,33.48,30.58,33.48,36.38,39.28,42.18,45.08,47.98,50.88,53.78,60.36,57.46,43.74,67.72,64.82,56.12,53.22,47.42,44.52,41.62,44.52,47.42,50.32,53.22,56.12,61.92,68.5,65.6,62.7,59.8,56.9,51.1,48.2,45.3,48.2,51.1,54,59.8,62.7,65.6,75.08,72.18,69.28,63.48,60.58,57.68,54.78,51.88,51.88,54.78,63.48,66.38,69.28,72.18,70.06,67.16,64.26,61.36,58.46,55.56,52.66,55.56,58.46,61.36,64.26,67.16,70.06,75.86,79.54,76.64,73.74,70.84,67.94,65.04,62.14,59.24,56.34,56.34,59.24,62.14,67.94,70.84,83.22,80.32,74.52,71.62,68.72,65.82,62.92,62.92,65.82,71.62,74.52,80.32,89.8,86.9,84,81.1,78.2,75.3,72.4,69.5,63.7,66.6,69.5,72.4,75.3,78.2,84,93.48,87.68,84.78,76.08,73.18,70.28,67.38,70.28,73.18,78.98,81.88,84.78,87.68
n00019,MZN1,2,13,75.63,35.38,32.48,29.58,20.88,15.08,26.68,32.48,37.5,34.6,31.7,28.8,25.9,23,20.1,17.2,14.3,11.4,2.9,0,5.8,11.6,17.4,29.58,26.68,17.98,15.08,20.88,26.68,32.48,32.48,39.06,36.16,33.26,30.36,27.46,24.56,21.66,18.76,21.66,24.56,30.36,33.26,39.06,45.64,36.94,28.24,25.34,22.44,36.94,39.84,42.74,49.32,43.52,40.62,37.72,34.82,31.92,29.02,26.12,29.02,31.92,34.82,37.72,40.62,43.52,46.42,43.52,53,50.1,38.5,32.7,32.7,38.5,41.4,47.2,47.2,56.68,53.78,50.88,47.98,42.18,36.38,33.48,36.38,39.28,42.18,45.08,47.98,50.88,53.78,50.88,63.26,60.36,46.64,70.62,67.72,59.02,56.12,50.32,47.42,44.52,47.42,50.32,53.22,56.12,59.02,64.82,71.4,68.5,65.6,62.7,59.8,54,51.1,48.2,51.1,54,56.9,62.7,65.6,68.5,77.98,75.08,72.18,66.38,63.48,60.58,57.68,54.78,54.78,57.68,66.38,69.28,72.18,69.28,72.96,70.06,67.16,64.26,61.36,58.46,55.56,58.46,61.36,64.26,67.16,70.06,72.96,72.96,82.44,79.54,76.64,73.74,70.84,67.94,65.04,62.14,59.24,59.24,62.14,65.04,70.84,73.74,86.12,83.22,77.42,74.52,71.62,68.72,65.82,65.82,68.72,74.52,77.42,83.22,92.7,89.8,86.9,84,81.1,78.2,75.3,72.4,66.6,69.5,72.4,75.3,78.2,81.1,86.9,96.38,90.58,87.68,78.98,76.08,73.18,70.28,73.18,76.08,81.88,84.78,87.68,90.58
n00020,MZN1,2,15,81.43,41.18,38.28,35.38,26.68,20.88,32.48,26.68,43.3,40.4,37.5,34.6,31.7,28.8,25.9,23,20.1,17.2,8.7,5.8,0,5.8,11.6,35.38,32.48,23.78,20.88,26.68,32.48,32.48,26.68,44.86,41.96,39.06,36.16,33.26,30.36,27.46,24.56,27.46,30.36,36.16,39.06,33.26,51.44,42.74,34.04,31.14,28.24,42.74,39.84,36.94,55.12,49.32,46.42,43.52,40.62,37.72,34.82,31.92,34.82,37.72,40.62,43.52,46.42,43.52,40.62,37.72,58.8,55.9,44.3,38.5,38.5,44.3,47.2,47.2,41.4,62.48,59.58,56.68,53.78,47.98,42.18,39.28,42.18,45.08,47.98,50.88,53.78,50.88,47.98,45.08,69.06,66.16,52.44,76.42,73.52,64.82,61.92,56.12,53.22,50.32,53.22,56.12,59.02,61.92,64.82,59.02,77.2,74.3,71.4,68.5,65.6,59.8,56.9,54,56.9,59.8,62.7,68.5,65.6,62.7,83.78,80.88,77.98,72.18,69.28,66.38,63.48,60.58,60.58,63.48,72.18,69.28,66.38,63.48,78.76,75.86,72.96,70.06,67.16,64.26,61.36,64.26,67.16,70.06,72.96,75.86,72.96,67.16,88.24,85.34,82.44,79.54,76.64,73.74,70.84,67.94,65.04,65.04,67.94,70.84,76.64,79.54,91.92,89.02,83.22,80.32,77.42,74.52,71.62,71.62,74.52,80.32,83.22,77.42,98.5,95.6,92.7,89.8,86.9,84,81.1,78.2,72.4,75.3,78.2,81.1,84,86.9,81.1,102.18,96.38,93.48,84.78,81.88,78.98,76.08,78.98,81.88,87.68,90.58,87.68,84.78
n00021,MZN1,2,17,87.23,46.98,44.08,41.18,32.48,26.68,32.48,20.88,49.1,46.2,43.3,40.4,37.5,34.6,31.7,28.8,25.9,23,14.5,11.6,5.8,0,5.8,41.18,38.28,29.58,26.68,32.48,32.48,26.68,20.88,50.66,47.76,44.86,41.96,39.06,36.16,33.26,30.36,33.26,36.16,36.16,33.26,27.46,57.24,48.54,39.84,36.94,34.04,36.94,34.04,31.14,60.92,55.12,52.22,49.32,46.42,43.52,40.62,37.72,40.62,43.52,46.42,43.52,40.62,37.72,34.82,31.92,64.6,61.7,50.1,44.3,44.3,50.1,47.2,41.4,35.6,68.28,65.38,62.48,59.58,53.78,47.98,45.08,47.98,50.88,53.78,50.88,47.98,45.08,42.18,39.28,74.86,71.96,58.24,82.22,79.32,70.62,67.72,61.92,59.02,56.12,59.02,61.92,64.82,61.92,59.02,53.22,83,80.1,77.2,74.3,71.4,65.6,62.7,59.8,62.7,65.6,68.5,62.7,59.8,56.9,89.58,86.68,83.78,77.98,75.08,72.18,69.28,66.38,66.38,69.28,66.38,63.48,60.58,57.68,84.56,81.66,78.76,75.86,72.96,70.06,67.16,70.06,72.96,75.86,72.96,70.06,67.16,61.36,94.04,91.14,88.24,85.34,82.44,79.54,76.64,73.74,70.84,70.84,73.74,76.64,76.64,73.74,97.72,94.82,89.02,86.12,83.22,80.32,77.42,77.42,80.32,80.32,77.42,71.62,104.3,101.4,98.5,95.6,92.7,89.8,86.9,84,78.2,81.1,84,86.9,84,81.1,75.3,107.98,102.18,99.28,90.58,87.68,84.78,81.88,84.78,87.68,87.68,84.78,81.88,78.98
n00022,MZN1,2,19,93.03,52.78,49.88,46.98,38.28,32.48,26.68,15.08,54.9,52,49.1,46.2,43.3,40.4,37.5,34.6,31.7,28.8,20.3,17.4,11.6,5.8,0,46.98,44.08,35.38,32.48,32.48,26.68,20.88,15.08,56.46,53.56,50.66,47.76,44.86,41.96,39.06,36.16,39.06,36.16,30.36,27.46,21.66,63.04,54.34,45.64,42.74,39.84,31.14,28.24,25.34,66.72,60.92,58.02,55.12,52.22,49.32,46.42,43.52,46.42,43.52,40.62,37.72,34.82,31.92,29.02,26.12,70.4,67.5,55.9,50.1,50.1,44.3,41.4,35.6,29.8,74.08,71.18,68.28,65.38,59.58,53.78,50.88,53.78,50.88,47.98,45.08,42.18,39.28,36.38,33.48,80.66,77.76,64.04,88.02,85.12,76.42,73.52,67.72,64.82,61.92,64.82,61.92,59.02,56.12,53.22,47.42,88.8,85.9,83,80.1,77.2,71.4,68.5,65.6,68.5,65.6,62.7,56.9,54,51.1,95.38,92.48,89.58,83.78,80.88,77.98,75.08,72.18,72.18,69.28,60.58,57.68,54.78,51.88,90.36,87.46,84.56,81.66,78.76,75.86,72.96,75.86,72.96,70.06,67.16,64.26,61.36,55.56,99.84,96.94,94.04,91.14,88.24,85.34,82.44,79.54,76.64,76.64,79.54,76.64,70.84,67.94,103.52,100.62,94.82,91.92,89.02,86.12,83.22,83.22,80.32,74.52,71.62,65.82,110.1,107.2,104.3,101.4,98.5,95.6,92.7,89.8,84,86.9,84,81.1,78.2,75.3,69.5,113.78,107.98,105.08,96.38,93.48,90.58,87.68,90.58,87.68,81.88,78.98,76.08,73.18
n00023,MZN1,3,5,46.05,30.36,33.26,36.16,33.26,27.46,39.06,50.66,20.88,23.78,26.68,29.58,32.48,35.38,32.48,29.58,26.68,23.78,26.68,29.58,35.38,41.18,46.98,0,2.9,11.6,14.5,25.9,31.7,37.5,43.3,26.68,29.58,32.48,35.38,32.48,29.58,26.68,23.78,26.68,29.58,35.38,38.28,44.08,27.46,36.16,33.26,30.36,27.46,41.96,44.86,47.76,31.14,36.94,39.84,42.74,39.84,36.94,34.04,31.14,34.04,36.94,39.84,42.74,45.64,48.54,51.44,54.34,34.82,37.72,43.52,37.72,37.72,43.52,46.42,52.22,58.02,38.5,41.4,44.3,47.2,47.2,41.4,38.5,41.4,44.3,47.2,50.1,53,55.9,58.8,61.7,39.28,42.18,51.66,46.64,49.54,58.24,61.14,55.34,52.44,49.54,52.44,55.34,58.24,61.14,64.04,69.84,53.22,56.12,59.02,61.92,64.82,59.02,56.12,53.22,56.12,59.02,61.92,67.72,70.62,73.52,54,56.9,59.8,65.6,68.5,65.6,62.7,59.8,59.8,62.7,71.4,74.3,77.2,80.1,66.38,69.28,72.18,69.28,66.38,63.48,60.58,63.48,66.38,69.28,72.18,75.08,77.98,83.78,64.26,67.16,70.06,72.96,75.86,72.96,70.06,67.16,64.26,64.26,67.16,70.06,75.86,78.76,67.94,70.84,76.64,79.54,76.64,73.74,70.84,70.84,73.74,79.54,82.44,88.24,68.72,71.62,74.52,77.42,80.32,83.22,80.32,77.42,71.62,74.52,77.42,80.32,83.22,86.12,91.92,72.4,78.2,81.1,84,81.1,78.2,75.3,78.2,81.1,86.9,89.8,92.7,95.6
n00024,MZN1,3,6,48.95,33.26,36.16,39.06,30.36,24.56,36.16,47.76,23.78,26.68,29.58,32.48,35.38,32.48,29.58,26.68,23.78,20.88,23.78,26.68,32.48,38.28,44.08,2.9,0,8.7,11.6,23,28.8,34.6,40.4,29.58,32.48,35.38,32.48,29.58,26.68,23.78,20.88,23.78,26.68,32.48,35.38,41.18,30.36,39.06,30.36,27.46,24.56,39.06,41.96,44.86,34.04,39.84,42.74,39.84,36.94,34.04,31.14,28.24,31.14,34.04,36.94,39.84,42.74,45.64,48.54,51.44,37.72,40.62,40.62,34.82,34.82,40.62,43.52,49.32,55.12,41.4,44.3,47.2,50.1,44.3,38.5,35.6,38.5,41.4,44.3,47.2,50.1,53,55.9,58.8,42.18,45.08,48.76,49.54,52.44,61.14,58.24,52.44,49.54,46.64,49.54,52.44,55.34,58.24,61.14,66.94,56.12,59.02,61.92,64.82,61.92,56.12,53.22,50.32,53.22,56.12,59.02,64.82,67.72,70.62,56.9,59.8,62.7,68.5,65.6,62.7,59.8,56.9,56.9,59.8,68.5,71.4,74.3,77.2,69.28,72.18,69.28,66.38,63.48,60.58,57.68,60.58,63.48,66.38,69.28,72.18,75.08,80.88,67.16,70.06,72.96,75.86,72.96,70.06,67.16,64.26,61.36,61.36,64.26,67.16,72.96,75.86,70.84,73.74,79.54,76.64,73.74,70.84,67.94,67.94,70.84,76.64,79.54,85.34,71.62,74.52,77.42,80.32,83.22,80.32,77.42,74.52,68.72,71.62,74.52,77.42,80.32,83.22,89.02,75.3,81.1,84,81.1,78.2,75.3,72.4,75.3,78.2,84,86.9,89.8,92.7
n00025,MZN1,3,9,57.65,36.16,33.26,30.36,21.66,15.86,27.46,39.06,32.48,35.38,32.48,29.58,26.68,23.78,20.88,17.98,15.08,12.18,15.08,17.98,23.78,29.58,35.38,11.6,8.7,0,2.9,14.3,20.1,25.9,31.7,32.48,29.58,26.68,23.78,20.88,17.98,15.08,12.18,15.08,17.98,23.78,26.68,32.48,39.06,30.36,21.66,18.76,15.86,30.36,33.26,36.16,42.74,36.94,34.04,31.14,28.24,25.34,22.44,19.54,22.44,25.34,28.24,31.14,34.04,36.94,39.84,42.74,46.42,43.52,31.92,26.12,26.12,31.92,34.82,40.62,46.42,50.1,47.2,44.3,41.4,35.6,29.8,26.9,29.8,32.7,35.6,38.5,41.4,44.3,47.2,50.1,50.88,53.78,40.06,58.24,61.14,52.44,49.54,43.74,40.84,37.94,40.84,43.74,46.64,49.54,52.44,58.24,64.82,61.92,59.02,56.12,53.22,47.42,44.52,41.62,44.52,47.42,50.32,56.12,59.02,61.92,65.6,68.5,65.6,59.8,56.9,54,51.1,48.2,48.2,51.1,59.8,62.7,65.6,68.5,66.38,63.48,60.58,57.68,54.78,51.88,48.98,51.88,54.78,57.68,60.58,63.48,66.38,72.18,75.86,72.96,70.06,67.16,64.26,61.36,58.46,55.56,52.66,52.66,55.56,58.46,64.26,67.16,79.54,76.64,70.84,67.94,65.04,62.14,59.24,59.24,62.14,67.94,70.84,76.64,80.32,83.22,80.32,77.42,74.52,71.62,68.72,65.82,60.02,62.92,65.82,68.72,71.62,74.52,80.32,84,84,81.1,72.4,69.5,66.6,63.7,66.6,69.5,75.3,78.2,81.1,84
n00026,MZN1,3,10,60.55,33.26,30.36,27.46,18.76,12.96,24.56,36.16,35.38,32.48,29.58,26.68,23.78,20.88,17.98,15.08,12.18,9.28,12.18,15.08,20.88,26.68,32.48,14.5,11.6,2.9,0,11.4,17.2,23,28.8,29.58,26.68,23.78,20.88,17.98,15.08,12.18,9.28,12.18,15.08,20.88,23.78,29.58,36.16,27.46,18.76,15.86,12.96,27.46,30.36,33.26,39.84,34.04,31.14,28.24,25.34,22.44,19.54,16.64,19.54,22.44,25.34,28.24,31.14,34.04,36.94,39.84,43.52,40.62,29.02,23.22,23.22,29.02,31.92,37.72,43.52,47.2,44.3,41.4,38.5,32.7,26.9,24,26.9,29.8,32.7,35.6,38.5,41.4,44.3,47.2,53.78,50.88,37.16,61.14,58.24,49.54,46.64,40.84,37.94,35.04,37.94,40.84,43.74,46.64,49.54,55.34,61.92,59.02,56.12,53.22,50.32,44.52,41.62,38.72,41.62,44.52,47.42,53.22,56.12,59.02,68.5,65.6,62.7,56.9,54,51.1,48.2,45.3,45.3,48.2,56.9,59.8,62.7,65.6,63.48,60.58,57.68,54.78,51.88,48.98,46.08,48.98,51.88,54.78,57.68,60.58,63.48,69.28,72.96,70.06,67.16,64.26,61.36,58.46,55.56,52.66,49.76,49.76,52.66,55.56,61.36,64.26,76.64,73.74,67.94,65.04,62.14,59.24,56.34,56.34,59.24,65.04,67.94,73.74,83.22,80.32,77.42,74.52,71.62,68.72,65.82,62.92,57.12,60.02,62.92,65.82,68.72,71.62,77.42,86.9,81.1,78.2,69.5,66.6,63.7,60.8,63.7,66.6,72.4,75.3,78.2,81.1
n00027,MZN1,3,13,71.95,39.06,36.16,33.26,24.56,18.76,30.36,36.16,41.18,38.28,35.38,32.48,29.58,26.68,23.78,20.88,17.98,15.08,17.98,20.88,26.68,32.48,32.48,25.9,23,14.3,11.4,0,5.8,11.6,17.4,35.38,32.48,29.58,26.68,23.78,20.88,17.98,15.08,17.98,20.88,26.68,29.58,35.38,41.96,33.26,24.56,21.66,18.76,33.26,36.16,39.06,45.64,39.84,36.94,34.04,31.14,28.24,25.34,22.44,25.34,28.24,31.14,34.04,36.94,39.84,42.74,39.84,49.32,46.42,34.82,29.02,29.02,34.82,37.72,43.52,43.52,53,50.1,47.2,44.3,38.5,32.7,29.8,32.7,35.6,38.5,41.4,44.3,47.2,50.1,47.2,59.58,56.68,42.96,66.94,64.04,55.34,52.44,46.64,43.74,40.84,43.74,46.64,49.54,52.44,55.34,61.14,67.72,64.82,61.92,59.02,56.12,50.32,47.42,44.52,47.42,50.32,53.22,59.02,61.92,64.82,74.3,71.4,68.5,62.7,59.8,56.9,54,51.1,51.1,54,62.7,65.6,68.5,65.6,69.28,66.38,63.48,60.58,57.68,54.78,51.88,54.78,57.68,60.58,63.48,66.38,69.28,69.28,78.76,75.86,72.96,70.06,67.16,64.26,61.36,58.46,55.56,55.56,58.46,61.36,67.16,70.06,82.44,79.54,73.74,70.84,67.94,65.04,62.14,62.14,65.04,70.84,73.74,79.54,89.02,86.12,83.22,80.32,77.42,74.52,71.62,68.72,62.92,65.82,68.72,71.62,74.52,77.42,83.22,92.7,86.9,84,75.3,72.4,69.5,66.6,69.5,72.4,78.2,81.1,84,86.9
n00028,MZN1,3,15,77.75,44.86,41.96,39.06,30.36,24.56,36.16,30.36,46.98,44.08,41.18,38.28,35.38,32.48,29.58,26.68,23.78,20.88,23.78,26.68,32.48,32.48,26.68,31.7,28.8,20.1,17.2,5.8,0,5.8,11.6,41.18,38.28,35.38,32.48,29.58,26.68,23.78,20.88,23.78,26.68,32.48,35.38,29.58,47.76,39.06,30.36,27.46,24.56,39.06,36.16,33.26,51.44,45.64,42.74,39.84,36.94,34.04,31.14,28.24,31.14,34.04,36.94,39.84,42.74,39.84,36.94,34.04,55.12,52.22,40.62,34.82,34.82,40.62,43.52,43.52,37.72,58.8,55.9,53,50.1,44.3,38.5,35.6,38.5,41.4,44.3,47.2,50.1,47.2,44.3,41.4,65.38,62.48,48.76,72.74,69.84,61.14,58.24,52.44,49.54,46.64,49.54,52.44,55.34,58.24,61.14,55.34,73.52,70.62,67.72,64.82,61.92,56.12,53.22,50.32,53.22,56.12,59.02,64.82,61.92,59.02,80.1,77.2,74.3,68.5,65.6,62.7,59.8,56.9,56.9,59.8,68.5,65.6,62.7,59.8,75.08,72.18,69.28,66.38,63.48,60.58,57.68,60.58,63.48,66.38,69.28,72.18,69.28,63.48,84.56,81.66,78.76,75.86,72.96,70.06,67.16,64.26,61.36,61.36,64.26,67.16,72.96,75.86,88.24,85.34,79.54,76.64,73.74,70.84,67.94,67.94,70.84,76.64,79.54,73.74,94.82,91.92,89.02,86.12,83.22,80.32,77.42,74.52,68.72,71.62,74.52,77.42,80.32,83.22,77.42,98.5,92.7,89.8,81.1,78.2,75.3,72.4,75.3,78.2,84,86.9,84,81.1
n00029,MZN1,3,17,83.55,50.66,47.76,44.86,36.16,30.36,36.16,24.56,52.78,49.88,46.98,44.08,41.18,38.28,35.38,32.48,29.58,26.68,29.58,32.48,32.48,26.68,20.88,37.5,34.6,25.9,23,11.6,5.8,0,5.8,46.98,44.08,41.18,38.28,35.38,32.48,29.58,26.68,29.58,32.48,32.48,29.58,23.78,53.56,44.86,36.16,33.26,30.36,33.26,30.36,27.46,57.24,51.44,48.54,45.64,42.74,39.84,36.94,34.04,36.94,39.84,42.74,39.84,36.94,34.04,31.14,28.24,60.92,58.02,46.42,40.62,40.62,46.42,43.52,37.72,31.92,64.6,61.7,58.8,55.9,50.1,44.3,41.4,44.3,47.2,50.1,47.2,44.3,41.4,38.5,35.6,71.18,68.28,54.56,78.54,75.64,66.94,64.04,58.24,55.34,52.44,55.34,58.24,61.14,58.24,55.34,49.54,79.32,76.42,73.52,70.62,67.72,61.92,59.02,56.12,59.02,61.92,64.82,59.02,56.12,53.22,85.9,83,80.1,74.3,71.4,68.5,65.6,62.7,62.7,65.6,62.7,59.8,56.9,54,80.88,77.98,75.08,72.18,69.28,66.38,63.48,66.38,69.28,72.18,69.28,66.38,63.48,57.68,90.36,87.46,84.56,81.66,78.76,75.86,72.96,70.06,67.16,67.16,70.06,72.96,72.96,70.06,94.04,91.14,85.34,82.44,79.54,76.64,73.74,73.74,76.64,76.64,73.74,67.94,100.62,97.72,94.82,91.92,89.02,86.12,83.22,80.32,74.52,77.42,80.32,83.22,80.32,77.42,71.62,104.3,98.5,95.6,86.9,84,81.1,78.2,81.1,84,84,81.1,78.2,75.3
n00030,MZN1,3,19,89.35,56.46,53.56,50.66,41.96,36.16,30.36,18.76,58.58,55.68,52.78,49.88,46.98,44.08,41.18,38.28,35.38,32.48,35.38,32.48,26.68,20.88,15.08,43.3,40.4,31.7,28.8,17.4,11.6,5.8,0,52.78,49.88,46.98,44.08,41.18,38.28,35.38,32.48,35.38,32.48,26.68,23.78,17.98,59.36,50.66,41.96,39.06,36.16,27.46,24.56,21.66,63.04,57.24,54.34,51.44,48.54,45.64,42.74,39.84,42.74,39.84,36.94,34.04,31.14,28.24,25.34,22.44,66.72,63.82,52.22,46.42,46.42,40.62,37.72,31.92,26.12,70.4,67.5,64.6,61.7,55.9,50.1,47.2,50.1,47.2,44.3,41.4,38.5,35.6,32.7,29.8,76.98,74.08,60.36,84.34,81.44,72.74,69.84,64.04,61.14,58.24,61.14,58.24,55.34,52.44,49.54,43.74,85.12,82.22,79.32,76.42,73.52,67.72,64.82,61.92,64.82,61.92,59.02,53.22,50.32,47.42,91.7,88.8,85.9,80.1,77.2,74.3,71.4,68.5,68.5,65.6,56.9,54,51.1,48.2,86.68,83.78,80.88,77.98,75.08,72.18,69.28,72.18,69.28,66.38,63.48,60.58,57.68,51.88,96.16,93.26,90.36,87.46,84.56,81.66,78.76,75.86,72.96,72.96,75.86,72.96,67.16,64.26,99.84,96.94,91.14,88.24,85.34,82.44,79.54,79.54,76.64,70.84,67.94,62.14,106.42,103.52,100.62,97.72,94.82,91.92,89.02,86.12,80.32,83.22,80.32,77.42,74.52,71.62,65.82,110.1,104.3,101.4,92.7,89.8,86.9,84,86.9,84,78.2,75.3,72.4,69.5
n00031,MZN1,4,3,36.57,28.24,31.14,34.04,42.74,36.94,48.54,60.14,18.76,21.66,24.56,27.46,30.36,33.26,36.16,39.06,36.16,33.26,36.16,39.06,44.86,50.66,56.46,26.68,29.58,32.48,29.58,35.38,41.18,46.98,52.78,0,2.9,5.8,8.7,11.6,14.5,17.4,20.3,28.8,31.7,37.5,40.4,46.2,17.98,26.68,35.38,32.48,29.58,44.08,46.98,49.88,21.66,27.46,30.36,33.26,36.16,39.06,36.16,33.26,36.16,39.06,41.96,44.86,47.76,50.66,53.56,56.46,25.34,28.24,39.84,39.84,39.84,45.64,48.54,54.34,60.14,29.02,31.92,34.82,37.72,43.52,43.52,40.62,43.52,46.42,49.32,52.22,55.12,58.02,60.92,63.82,29.8,32.7,53.78,37.16,40.06,48.76,51.66,57.46,54.56,51.66,54.56,57.46,60.36,63.26,66.16,71.96,43.74,46.64,49.54,52.44,55.34,61.14,58.24,55.34,58.24,61.14,64.04,69.84,72.74,75.64,44.52,47.42,50.32,56.12,59.02,61.92,64.82,61.92,61.92,64.82,73.52,76.42,79.32,82.22,56.9,59.8,62.7,65.6,68.5,65.6,62.7,65.6,68.5,71.4,74.3,77.2,80.1,85.9,54.78,57.68,60.58,63.48,66.38,69.28,72.18,69.28,66.38,66.38,69.28,72.18,77.98,80.88,58.46,61.36,67.16,70.06,72.96,75.86,72.96,72.96,75.86,81.66,84.56,90.36,59.24,62.14,65.04,67.94,70.84,73.74,76.64,79.54,73.74,76.64,79.54,82.44,85.34,88.24,94.04,62.92,68.72,71.62,80.32,83.22,80.32,77.42,80.32,83.22,89.02,91.92,94.82,97.72
