PICKER_ID,THM_ID,ARTICLE_CODE,FLOOR,AISLE,COLUMN,SHELF,LEFT_OR_RIGHT,AMOUNT,PICKCAR_ID
44498,567361472,686,MZN2,5,17,1,L,1,4167417571
44498,167069734,688,MZN2,5,17,1,R,1,4167417571
44498,167069734,688,MZN2,5,17,1,R,1,4167417571
44498,167069734,687,MZN2,5,17,1,R,1,4167417571
44498,167069734,687,MZN2,5,17,1,R,1,4167417571
44498,167059668,689,MZN2,5,18,1,R,1,4167417571
44498,167059668,689,MZN2,5,18,1,R,1,4167417571
44498,567361470,690,MZN2,5,18,2,R,1,4167417571
44498,167069735,691,MZN2,5,19,1,R,1,4167417571
43735,167070235,692,MZN2,6,4,1,R,2,4167417608
43735,167070235,692,MZN2,6,4,1,R,2,4167417608
43735,167066236,694,MZN2,6,6,1,L,1,4167417608
43735,167066236,694,MZN2,6,6,1,L,2,4167417608
43735,167066236,695,MZN2,6,6,1,L,1,4167417608
43735,167066236,695,MZN2,6,6,1,L,2,4167417608
43735,167066236,695,MZN2,6,6,1,L,1,4167417608
43735,167066236,693,MZN2,6,6,1,L,1,4167417608
43735,167070332,696,MZN2,6,6,1,R,1,4167417608
43735,167070332,696,MZN2,6,6,1,R,1,4167417608
43735,167054834,697,MZN2,6,6,2,L,2,4167417608
43735,167054834,698,MZN2,6,6,2,L,1,4167417608
43735,167054834,698,MZN2,6,6,2,L,2,4167417608
43735,167054834,698,MZN2,6,6,2,L,1,4167417608
43443,167055817,699,MZN2,6,8,1,L,1,4167417608
43443,167055817,699,MZN2,6,8,1,L,1,4167417608
43443,167059649,700,MZN2,6,9,1,R,1,4167417608
43443,4197224497,701,MZN2,6,13,2,L,1,4167417608
43443,167066864,702,MZN2,6,14,1,L,1,4167417608
43443,167070221,703,MZN2,6,14,1,R,1,4167417608
43443,167069738,704,MZN2,6,14,2,R,1,4167417608
43443,167069738,704,MZN2,6,14,2,R,1,4167417608
43443,167069738,704,MZN2,6,14,2,R,1,4167417608
43443,167056473,705,MZN2,6,15,2,L,1,4167417608
43443,567350938,706,MZN2,6,16,2,L,1,4167417608
43443,167045461,707,MZN2,6,17,2,L,1,4167417608
43443,167069736,708,MZN2,6,19,1,L,1,4167417608
43443,167069737,708,MZN2,6,19,1,R,1,4167417608
43735,167055958,709,MZN2,7,8,2,R,1,4167417598
43735,4197200066,710,MZN2,7,10,1,L,2,4167417598
43735,4197200066,710,MZN2,7,10,1,L,3,4167417598
43735,4197200066,710,MZN2,7,10,1,L,1,4167417598
43735,4197200066,710,MZN2,7,10,1,L,1,4167417598
43735,167056061,711,MZN2,7,12,1,L,1,4167417598
43735,167045443,712,MZN2,7,12,2,L,1,4167417598
43735,167055873,713,MZN2,7,14,1,L,1,4167417598
43735,167055873,713,MZN2,7,14,1,L,1,4167417598
43735,167045439,714,MZN2,7,17,2,L,1,4167417598
43735,167045439,715,MZN2,7,17,2,L,1,4167417598
43735,167053765,716,MZN2,7,17,2,R,1,4167417598
43735,167053765,716,MZN2,7,17,2,R,1,4167417598
43735,167047196,717,MZN2,7,18,1,L,3,4167417598
43735,167045440,718,MZN2,7,18,2,L,1,4167417598
43735,167045440,718,MZN2,7,18,2,L,1,4167417598
43735,167054775,719,MZN2,7,19,2,R,1,4167417598
43735,167054775,719,MZN2,7,19,2,R,1,4167417598
44498,127080277,720,MZN2,8,4,1,L,1,4167417571
